,product,year,country,total_production,quantity,per_production,amount
298,Espumante,2025,Congo,7461665,12605.961984139843,0.16894,12605.961984139843
299,Espumante,2025,Coreia do Sul,7461665,13784.40501856241,0.18474,13784.40501856241
300,Espumante,2025,Costa do Marfim,7461665,12639.210524703178,0.16939,12639.210524703178
301,Espumante,2025,Coveite,7461665,13545.788250897565,0.18154,13545.788250897565
302,Espumante,2025,"Dominica, Ilha de",7461665,13554.635674756362,0.18166,13554.635674756362
303,Espumante,2025,Emirados Árabes Unidos,7461665,13545.536084679477,0.18154,13545.536084679477
304,Espumante,2025,Finlândia,7461665,12908.299669164224,0.17299,12908.299669164224
305,Espumante,2025,Gabão,7461665,12656.537980902307,0.16962,12656.537980902307
306,Espumante,2025,Guiana Francesa,7461665,12678.593784785833,0.16992,12678.593784785833
307,Espumante,2025,Guine Equatorial,7461665,12664.942795090037,0.16973,12664.942795090037
308,Espumante,2025,Guiné Bissau,7461665,13543.301786233556,0.18151,13543.301786233556
309,Espumante,2025,India,7461665,13537.239276800818,0.18142,13537.239276800818
310,Espumante,2025,Indonésia,7461665,12635.451425631509,0.16934,12635.451425631509
311,Espumante,2025,Irã,7461665,12623.915651628073,0.16918,12623.915651628073
312,Espumante,2025,Israel,7461665,13522.117076628094,0.18122,13522.117076628094
313,Espumante,2025,Iugoslâvia,7461665,13498.71012482879,0.18091,13498.71012482879
314,Espumante,2025,Jamaica,7461665,12652.665482970744,0.16957,12652.665482970744
315,Espumante,2025,Líbia,7461665,14015.93246753564,0.18784,14015.93246753564
316,Espumante,2025,Malásia,7461665,12705.424154598959,0.17028,12705.424154598959
317,Espumante,2025,Mauritânia,7461665,12605.504024546555,0.16894,12605.504024546555
318,Espumante,2025,Moçambique,7461665,12635.221256658775,0.16934,12635.221256658775
319,Espumante,2025,Mônaco,7461665,13515.540658618303,0.18113,13515.540658618303
320,Espumante,2025,Namíbia,7461665,12609.69718176706,0.16899,12609.69718176706
321,Espumante,2025,Nova Caledônia,7461665,12641.326108455063,0.16942,12641.326108455063
322,Espumante,2025,Paquistão,7461665,13573.895576738529,0.18192,13573.895576738529
323,Espumante,2025,Paraguai,7461665,73175.91627852505,0.98069,73175.91627852505
324,Espumante,2025,Países Baixos,7461665,13408.762084689153,0.1797,13408.762084689153
325,Espumante,2025,República Centro Africana,7461665,13555.964841898418,0.18167,13555.964841898418
326,Espumante,2025,República Dominicana,7461665,12712.166105853135,0.17037,12712.166105853135
327,Espumante,2025,República Federativa da Rússia,7461665,13500.879789060971,0.18094,13500.879789060971
328,Espumante,2025,Senegal,7461665,12653.717840361838,0.16958,12653.717840361838
329,Espumante,2025,Sri Lanka,7461665,13540.127516025632,0.18146,13540.127516025632
330,Espumante,2025,São Tomé e Príncipe,7461665,12666.876232268969,0.16976,12666.876232268969
331,Espumante,2025,Tanzânia,7461665,12638.212542598885,0.16938,12638.212542598885
332,Espumante,2025,Toquelau,7461665,12624.645418131407,0.16919,12624.645418131407
